date,A,B,C,D,E
2020-01-31,100.0,100,100.0,100.0,100.0
2020-02-29,99.0,100,101.0,102.0,103.0
2020-03-31,98.00999999999999,100,102.01,104.03999999999999,106.08999999999999
2020-04-30,97.0299,100,103.03010000000002,106.12080000000002,109.2727
2020-05-31,96.059601,100,104.060401,108.243216,112.55088100000002
2020-06-30,95.09900499,100,105.10100501000001,110.40808032,115.92740743
2020-07-31,94.1480149401,100,106.15201506010001,112.61624192640001,119.40522965290002
2020-08-31,93.206534790699,100,107.21353521070101,114.868566764928,122.98738654248702
2020-09-30,92.27446944279201,100,108.28567056280802,117.16593810022657,126.67700813876164
2020-10-31,91.35172474836408,100,109.36852726843608,119.50925686223111,130.4773183829245
2020-11-30,90.43820750088044,100,110.46221254112045,121.89944199947573,134.39163793441222
2020-12-31,89.53382542587164,100,111.56683466653166,124.33743083946524,138.4233870724446
2021-01-31,88.63848717161292,100,112.68250301319698,126.82417945625456,142.57608868461793
2021-02-28,87.75210229989679,100,113.80932804332895,129.36066304537965,146.8533713451565
2021-03-31,86.87458127689783,100,114.94742132376226,131.94787630628724,151.25897248551118
2021-04-30,86.00583546412885,100,116.09689553699987,134.586833832413,155.79674166007652
2021-05-31,85.14577710948755,,117.25786449236988,137.27857050906124,160.47064390987882
2021-06-30,84.29431933839268,100,118.43044313729357,140.02414191924248,165.28476322717518
2021-07-31,83.45137614500875,100,119.6147475686665,142.82462475762733,170.24330612399046
2021-08-31,82.61686238355867,100,120.81089504435316,145.68111725277987,175.35060530771017
2021-09-30,81.79069375972307,100,122.0190039947967,148.59473959783548,180.61112346694148
2021-10-31,80.97278682212584,100,123.23919403474468,151.5666343897922,186.0294571709497
2021-11-30,80.16305895390458,100,124.47158597509211,30.91959341551761,191.61034088607823
2021-12-31,79.36142836436554,100,125.71630183484304,,197.35865111266057
2022-01-31,78.56781408072187,100,126.97346485319147,,203.2794106460404
2022-02-28,77.78213593991467,100,128.24319950172338,,209.3777929654216
2022-03-31,77.00431458051551,100,129.52563149674063,,215.6591267543843
2022-04-30,76.23427143471035,100,130.82088781170805,,222.1289005570158
2022-05-31,75.47192872036325,100,132.1290966898251,,228.79276757372628
2022-06-30,74.71720943315961,100,133.45038765672336,,235.6565506009381
2022-07-31,73.97003733882802,100,134.78489153329062,,242.72624711896623
2022-08-31,73.23033696543975,100,136.1327404486235,,250.0080345325352
2022-09-30,72.49803359578534,100,137.49406785310973,,257.5082755685113
2022-10-31,71.77305325982749,100,138.86900853164084,,265.23352383556664
2022-11-30,71.05532272722921,100,140.25769861695724,,273.1905295506336
2022-12-31,70.34476949995691,100,141.66027560312682,,281.38624543715264
2023-01-31,69.64132180495734,100,143.0768783591581,,289.82783280026723
2023-02-28,68.94490858690777,100,144.50764714274968,,298.52266778427526
2023-03-31,68.2554595010387,100,145.95272361417716,,307.4783478178035
2023-04-30,67.57290490602831,100,147.41225085031894,,316.70269825233765
2023-05-31,66.89717585696803,100,148.88637335882214,,326.2037791999078
2023-06-30,66.22820409839835,100,150.37523709241037,,335.989892575905
2023-07-31,65.56592205741435,100,151.87898946333448,,346.06958935318215
2023-08-31,64.91026283684022,100,153.3977793579678,,356.4516770337776
2023-09-30,64.26116020847181,100,154.9317571515475,,367.145227344791
2023-10-31,63.618548606387094,100,156.48107472306296,,378.15958416513473
2023-11-30,62.98236312032323,100,158.0458854702936,,389.50437169008876
2023-12-31,62.35253948912,100,159.62634432499655,,401.1895028407914
2024-01-31,61.729014094228795,100,161.22260776824652,,413.22518792601517
2024-02-29,61.1117239532865,100,162.83483384592896,,425.62194356379564
2024-03-31,60.50060671375363,100,164.46318218438827,,438.3906018707096
2024-04-30,59.895600646616096,100,166.10781400623216,,451.5423199268309
2024-05-31,59.29664464014994,100,167.76889214629446,,465.0885895246358
2024-06-30,58.703678193748445,100,169.4465810677574,,479.0412472103749
2024-07-31,58.11664141181095,100,171.141046878435,,493.41248462668614
2024-08-31,57.535474997692845,100,172.85245734721934,,508.21485916548676
2024-09-30,56.96012024771592,100,174.58098192069153,,523.4613049404513
2024-10-31,56.390519045238754,100,176.32679173989845,,539.165144088665
2024-11-30,55.826613854786366,100,178.09005965729745,,555.3400984113249
2024-12-31,55.26834771623851,100,179.8709602538704,,572.0003013636647
